;features;attribute_group;attribute;globus_attr_group_to_use;attribute_group_eng;attribute_eng;show
114;navhosen-stoffhosen;navhosen;stoffhosen;['globus:pim.damenfashion.navhosen'];trouser type;regular trousers;Y
115;navkleider-freizeitkleider;navkleider;freizeitkleider;['globus:pim.damenfashion.navkleider'];dress;casual clothes;Y
116;navmusterung-gemustertodermitdruck;navmusterung;gemustertodermitdruck;['globus:pim.damenfashion.navmusterung'];pattern;with pattern or print;Y
117;navmusterung-unifarben;navmusterung;unifarben;['globus:pim.damenfashion.navmusterung'];pattern;plain;Y
118;navpulloverstrick-pullover;navpulloverstrick;pullover;['globus:pim.damenfashion.navpulloverstrick'];navpulloverstrick;pullover;Y
119;navpulloverstrick-strickjacken;navpulloverstrick;strickjacken;['globus:pim.damenfashion.navpulloverstrick'];navpulloverstrick;cardigan;Y
120;navshirtstopssweats-poloshirts;navshirtstopssweats;poloshirts;['globus:pim.damenfashion.navshirtstopssweats'];navshirtstopssweats;polo shirt;Y
121;navshirtstopssweats-shirts;navshirtstopssweats;shirts;['globus:pim.damenfashion.navshirtstopssweats'];navshirtstopssweats;shirt;Y
122;navshirtstopssweats-sweatjs;navshirtstopssweats;sweatjs;['globus:pim.damenfashion.navshirtstopssweats'];navshirtstopssweats;sweats;Y
123;navshirtstopssweats-tshirts;navshirtstopssweats;tshirts;['globus:pim.damenfashion.navshirtstopssweats'];navshirtstopssweats;tshirt;Y
124;offwhite;attribute not known;offwhite;;;offwhite;Y
125;passform-001;passform;1;['globus:pim.general.passform'];;;N
126;passform-002;passform;2;['globus:pim.general.passform'];;;N
127;passform-003;passform;3;['globus:pim.general.passform'];;;N
128;passform-009;passform;9;['globus:pim.general.passform'];;;N
129;pink;attribute not known;pink;;;;N
130;qualitaet-100baumwolle;qualitaet;100baumwolle;['globus:pim.heimhaushalt.qualitaet'];quality;100% cotton;Y
131;qualitaet-100cashmere;qualitaet;100cashmere;['globus:pim.heimhaushalt.qualitaet'];quality;100% cashmere;Y
132;qualitaet-100leinen;qualitaet;100leinen;['globus:pim.heimhaushalt.qualitaet'];quality;100% linen;Y
133;qualitaet-100seide;qualitaet;100seide;['globus:pim.heimhaushalt.qualitaet'];quality;100% silk;Y
134;qualitaet-100wolle;qualitaet;100wolle;['globus:pim.heimhaushalt.qualitaet'];quality;100% wool;Y
135;qualitaet-echtesleder;qualitaet;echtesleder;['globus:pim.heimhaushalt.qualitaet'];quality;real leather;Y
136;qualitaet-kunstleder;qualitaet;kunstleder;;quality;synthetic leather;Y
137;qualitaet-kunstmischgewebe;qualitaet;kunstmischgewebe;['globus:pim.heimhaushalt.qualitaet'];quality;;N
138;qualitaet-mischgewebemitelasthan;qualitaet;mischgewebemitelasthan;['globus:pim.heimhaushalt.qualitaet'];quality;;N
139;qualitaet-naturfasermischgewebe;qualitaet;naturfasermischgewebe;['globus:pim.heimhaushalt.qualitaet'];quality;;N
140;qualitaet-naturfasermitelasthan;qualitaet;naturfasermitelasthan;['globus:pim.heimhaushalt.qualitaet'];quality;;N
141;rahmengenaht-False;rahmengenaht;FALSE;;;;N
142;regularfit;attribute not known;regularfit;;fit type;regularfit;Y
143;rocklange-inmidirocklange;rocklange;inmidirocklange;['globus:pim.damenfashion.rocklange'];length of skirt;midi;Y
144;rosa;attribute not known;rosa;;;;N
145;saison-Warmequalitaet;saison;Warmequalitaet;['globus:pim.damenfashion.saison'];quality;warm;Y
146;saison-leichtequalitaet;saison;leichtequalitaet;['globus:pim.damenfashion.saison'];quality;light;Y
147;saison-mittelschwerequalitaet;saison;mittelschwerequalitaet;['globus:pim.damenfashion.saison'];quality;medium warm;Y
148;schuhhoehe-Sneakertief;schuhhoehe;Sneakertief;['globus:pim.accessoires.schuhhoehe'];height of shoues;sneaker;Y
149;slimfit;attribute not known;slimfit;;fit type;slimfit;Y
150;sommer;attribute not known;sommer;;season;summer;Y
151;tailliert;attribute not known;tailliert;;fit type;tailliert;Y
152;taschen-leistentaschen;taschen;leistentaschen;['globus:pim.damenfashion.taschen'];bags;;N
153;taschen-passepoiltaschen;taschen;passepoiltaschen;['globus:pim.damenfashion.taschen'];bags;;N
154;taschen-schragertascheneingriff;taschen;schragertascheneingriff;['globus:pim.damenfashion.taschen'];bags;;N
155;trocknen-0;trocknen;0;;;;N
156;trocknen-1;trocknen;1;;;;N
157;trocknen-2;trocknen;2;;;;N
158;verschlussartfashion-druckknopfe;verschlussartfashion;druckknopfe;['globus:pim.damenfashion.verschlussartfashion'];clothes closure;push-buttons;Y
159;verschlussartfashion-knopfe;verschlussartfashion;knopfe;['globus:pim.damenfashion.verschlussartfashion'];clothes closure;buttons;Y
160;verschlussartfashion-magnetverschluss;verschlussartfashion;magnetverschluss;['globus:pim.damenfashion.verschlussartfashion'];clothes closure;magnet;Y
161;verschlussartfashion-reisverschluss;verschlussartfashion;reisverschluss;['globus:pim.damenfashion.verschlussartfashion'];clothes closure;zip;Y
162;verschlussartfashion-riegelverschluss;verschlussartfashion;riegelverschluss;['globus:pim.damenfashion.verschlussartfashion'];;;N
163;verschlussartfashion-schnurung;verschlussartfashion;schnurung;['globus:pim.damenfashion.verschlussartfashion'];;;N
164;verschlussschuhe-reissverschluss;verschlussschuhe;reissverschluss;['globus:pim.accessoires.verschlussschuhe'];shoe closure;with zipper;Y
165;verschlussschuhe-zumschlupfen;verschlussschuhe;zumschlupfen;['globus:pim.accessoires.verschlussschuhe'];shoe closure;;Y
166;verschlussschuhe-zumschnuren;verschlussschuhe;zumschnuren;['globus:pim.accessoires.verschlussschuhe'];shoe closure;lace-up;Y
167;waschen-0;waschen;0;;;;N
168;waschen-1;waschen;1;;;;N
169;waschen-2;waschen;2;;;;N
170;waschen-3;waschen;3;;;;N
171;waschen-4;waschen;4;['globus:pim.general.pflegehinweis.waschen'];;;N
172;waschen-F;waschen;F;['globus:pim.general.pflegehinweis.waschen'];;;N
173;waschen-G;waschen;G;['globus:pim.general.pflegehinweis.waschen'];;;N
174;webart-Strukturstrick;webart;Strukturstrick;['globus:pim.damenfashion.webart'];material;knitted;N
175;webart-ausjersey;webart;ausjersey;['globus:pim.damenfashion.webart'];material;;N
176;webart-chambraygewebeleichtstrukturierteroptik;webart;chambraygewebeleichtstrukturierteroptik;['globus:pim.damenfashion.webart'];material;;N
177;webart-feineschiffongewebe;webart;feineschiffongewebe;['globus:pim.damenfashion.webart'];material;;N
178;webart-gewebemitflacheroptik;webart;gewebemitflacheroptik;['globus:pim.damenfashion.webart'];material;;N
179;webart-oxfordgewebestrukturierteroptik;webart;oxfordgewebestrukturierteroptik;['globus:pim.damenfashion.webart'];material;;N
180;webart-popelinegewebeflacheroptik;webart;popelinegewebeflacheroptik;['globus:pim.damenfashion.webart'];material;;N
181;webart-strick;webart;strick;['globus:pim.damenfashion.webart'];material;knitted;Y
182;webart-twillgewebeleichterschragverlaufenderstruktur;webart;twillgewebeleichterschragverlaufenderstruktur;['globus:pim.damenfashion.webart'];material;;N
183;winter;attribute not known;winter;;season;winter;Y
